Format type,Format subtype 1,Format subtype 2,Format,Section,QID,Question,Help,Weight,Dependency-Q,Dependency-A,Control,A1,A1 value,A2,A2 value,A3,A3 value,A4,A4 value,A5,A5 value,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Use | Access,1,Is this item viewed/handled regularly?,"Handling and use carry risk, especially for formats requiring machine-mediated access. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Use | Access,2,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about service copies.",1.25,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Use | Access,3,Do you have appropriate viewing equipment for this item?,Microfilm readers are required to fully access the information on the film or fiche. Without equipment your film/fiche may be at a higher preservation risk. Indicate whether you have the appropriate device for this particular microform.,1.25,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Storage | Container,4,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Storage | Container,5,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers. ",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Storage | Container,6,Does the container or film have any meaningful labeling?,"Select ""Yes"" if the film has any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Condition,7,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If the non-image (shinier) side of the film or border area is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent."" 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable emulsion loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Condition,8,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, gelatin emulsions, binding material, etc.",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Condition,9,"If acetate or nitrate, what is the level of breakdown of the base?  If polyester, select ""No deterioration""","Acetate and nitrate films will decay in very different ways. Click through for more information on the levels of film base decay. 
If you think this film is polyester, or it displays none of the typical acetate or nitrate decay characteristics, select ""No deterioration"".",8,,,,No deterioration,1,Deterioration starting,0.67,Actively deteriorating,0.33,Critical deterioration,0,Unsure,0.4,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Condition,10,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Common forms of surface staining for silver gelatin photographic images include silver mirroring (metallic, bluish cast) and orange-yellow spotting (redox blemishes). Click through for more info, including examples.",8,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
